
1445663134.6395	 Player Topblast 951 	 is at point: 28 189
1445663138.07	 Player sjhak 1034 	 is at point: 6 193
1445663140.5569	 Player Topblast 951 	 is at point: 6 193
1445663141.0248	 Player sjhak 1034 	 is at point: 11 205
1445663143.958	 Player Topblast 951 	 is at point: 10 205
1445663144.9174	 Player sjhak 1034 	 is at point: 20 217
1445663156.5348	 Player Topblast 951 	 is at point: 19 217
1445663187.3479	Player Topblast 951 	 has left the game at point:6 226
1445663201.2144	 Player Topblast has logged in and is assigned the id 1552  point:40 222
1445663210.5857	 Player Topblast 1552 	 is at point: 28 223
1445663214.1162	 Player Topblast 1552 	 is at point: 21 229
1445663215.0414	 Player Topblast 1552 	 is at point: 16 228
1445663229.8658	 Player Topblast 1552 	 is at point: 16 229
1445663233.0133	 Player Topblast 1552 	 is at point: 29 231
